date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:47	2998/2998	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2011:13:48%20GMT	https://id.heroku.com/login	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/login.html	(from )
16:43:48	170/170	---M-Z	200	added ('OK')	text/plain	date:Sat,%2021%20Apr%202018%2011:13:49%20GMT	https://id.heroku.com/robots.txt		(from )
16:43:50	133420/133420	---MCZ	200	added ('OK')	text/css	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/6/purple.css	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/6/purple.css	(from https://id.heroku.com/login)
16:43:51	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2021%20Apr%202018%2011:13:51%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/satamihir/Music/Heroku-Login/www.googletagmanager.com/gtm.35445.delayed	(from https://id.heroku.com/login)
16:43:51	8340/8340	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/6/modernizr.min.js	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/6/modernizr.min.js	(from https://id.heroku.com/login)
16:43:52	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Apr%202018%2011:13:53%20GMT	https://id.heroku.com/signup/login	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/signup/login.4.delayed	(from https://id.heroku.com/login)
16:43:53	2887/2887	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Apr%202018%2011:13:54%20GMT	https://id.heroku.com/account/password/reset	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/account/password/reset.html	(from https://id.heroku.com/login)
16:43:55	20335/20335	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/glyphicons-halflings-regular.eot	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/glyphicons-halflings-regular.eot	(from https://id.heroku.com/assets/6/purple.css)
16:43:56	20335/20335	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/glyphicons-halflings-regular.eot?	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/glyphicons-halflings-regulard41d.eot	(from https://id.heroku.com/assets/6/purple.css)
16:43:57	23320/23320	---MCZ	200	added ('OK')	application/font-woff	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/glyphicons-halflings-regular.woff	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/glyphicons-halflings-regular.woff	(from https://id.heroku.com/assets/6/purple.css)
16:43:58	41280/41280	---MCZ	200	added ('OK')	application/octet-stream	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/glyphicons-halflings-regular.ttf	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/glyphicons-halflings-regular.ttf	(from https://id.heroku.com/assets/6/purple.css)
16:43:59	62926/62926	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/glyphicons-halflings-regular.svg	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/glyphicons-halflings-regular.svg	(from https://id.heroku.com/assets/6/purple.css)
16:44:00	1272/1272	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/logo-vertical.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/logo-vertical.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:01	2585/2585	---MCZ	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/logo-vertical@2x.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/logo-vertical@2x.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:02	2787/2787	---MCZ	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/logo-sfdc.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/logo-sfdc.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:03	5924/5924	---MCZ	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/logo-sfdc@2x.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/logo-sfdc@2x.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:04	287/287	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/icon-username.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/icon-username.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:05	506/506	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/icon-username@2x.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/icon-username@2x.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:07	205/205	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/icon-password.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/icon-password.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:08	346/346	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/icon-password@2x.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/icon-password@2x.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:09	392/392	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/icon-2fa.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/icon-2fa.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:10	703/703	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/icon-2fa@2x.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/icon-2fa@2x.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:12	165/165	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/icon-sms.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/icon-sms.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:13	279/279	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Apr%202018%2017:45:09%20GMT	https://id.heroku.com/assets/icon-sms@2x.png	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/assets/icon-sms@2x.png	(from https://id.heroku.com/assets/6/purple.css)
16:44:14	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Apr%202018%2011:14:14%20GMT	https://id.heroku.com/signup	C:/Users/satamihir/Music/Heroku-Login/id.heroku.com/signup.17.delayed	(from https://id.heroku.com/account/password/reset)
