date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:15	19491/19491	---MC-	200	added ('OK')	text/html	etag:W/%22af7e1872280dee97279d7f16d5b77c5b%22	https://signup.heroku.com/?c=70130000001x9jFAAQ	C:/Users/satamihir/Music/Heroku/signup.heroku.com/indexbd98.html	(from )
13:57:15	251/251	---M--	200	added ('OK')	text/plain	date:Wed,%2011%20Apr%202018%2008:12:57%20GMT	https://signup.heroku.com/robots.txt		(from )
13:57:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2020%20Apr%202018%2008:27:20%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/satamihir/Music/Heroku/www.googletagmanager.com/gtm.05445.delayed	(from https://signup.heroku.com/?c=70130000001x9jFAAQ)
13:57:18	55247/55247	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202018%2018:18:49%20GMT	https://signup.heroku.com/assets/application-64747b11ecfe7bdd8abf5a7fb28678ff253fea47d1a8b278206a7a6d82c2f557.css	C:/Users/satamihir/Music/Heroku/signup.heroku.com/assets/application-64747b11ecfe7bdd8abf5a7fb28678ff253fea47d1a8b278206a7a6d82c2f557.css	(from https://signup.heroku.com/?c=70130000001x9jFAAQ)
13:57:19	19491/19491	---MC-	200	added ('OK')	text/html	etag:W/%2264cf1993497361c7d7883917e77c12bf%22	https://signup.heroku.com/	C:/Users/satamihir/Music/Heroku/signup.heroku.com/index.html	(from https://signup.heroku.com/?c=70130000001x9jFAAQ)
13:57:20	803/803	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Apr%202018%2008:27:24%20GMT	https://www.google.com/recaptcha/api.js?onload=renderCaptcha&render=explicit&hl=en	C:/Users/satamihir/Music/Heroku/www.google.com/recaptcha/api011b.js	(from https://signup.heroku.com/?c=70130000001x9jFAAQ)
13:57:21	119/119	---M--	302	error ('Found')	image/png	date:Fri,%2020%20Apr%202018%2008:27:26%20GMT	https://signup.heroku.com/images/blockquote/open.png	C:/Users/satamihir/Music/Heroku/signup.heroku.com/images/blockquote/open.4.delayed	(from https://signup.heroku.com/assets/application-64747b11ecfe7bdd8abf5a7fb28678ff253fea47d1a8b278206a7a6d82c2f557.css)
13:57:22	1680/1680	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Apr%202018%2008:27:27%20GMT	https://signup.heroku.com/images/blockquote/open.html	C:/Users/satamihir/Music/Heroku/signup.heroku.com/images/blockquote/open.5.delayed	(from https://signup.heroku.com/assets/application-64747b11ecfe7bdd8abf5a7fb28678ff253fea47d1a8b278206a7a6d82c2f557.css)
13:57:24	122/122	---M--	302	error ('Found')	image/png	date:Fri,%2020%20Apr%202018%2008:27:28%20GMT	https://signup.heroku.com/images/blockquote/open_2x.png	C:/Users/satamihir/Music/Heroku/signup.heroku.com/images/blockquote/open_2x.6.delayed	(from https://signup.heroku.com/assets/application-64747b11ecfe7bdd8abf5a7fb28678ff253fea47d1a8b278206a7a6d82c2f557.css)
13:57:27	1680/1680	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Apr%202018%2008:27:30%20GMT	https://signup.heroku.com/images/blockquote/open_2x.html	C:/Users/satamihir/Music/Heroku/signup.heroku.com/images/blockquote/open_2x.7.delayed	(from https://signup.heroku.com/assets/application-64747b11ecfe7bdd8abf5a7fb28678ff253fea47d1a8b278206a7a6d82c2f557.css)
